,Image ,Compressor,Rating,WorkerID
0,wolfsketch,human,10,VY3S4TQ3X89A0U
1,wolfsketch,human,9,3358L7K3NIAAPU
2,wolfsketch,human,9,7G643W32EHYASI
3,wolfsketch,human,10,76V0TTR3RRUA34
4,wolfsketch,human,8,VU0ISM6131NAUI
5,wolfsketch,human,10,RPBLFR11J11AIS
6,wolfsketch,human,7,AM5G8272II2AJ9
7,wolfsketch,human,10,5AF0B7R25H0AL4
8,wolfsketch,human,10,ORCRK2X18YGAO7
9,wolfsketch,human,10,AR4VCW612TAA69
10,wolfsketch,human,10,M8XYF851IQVASO
11,wolfsketch,human,3,ZSXNTWI2XRBAAN
12,wolfsketch,human,10,5R39S3KOVJACB
13,wolfsketch,human,3,LN6GLW12NY3A65
14,wolfsketch,human,10,D9EZ9UF1BE4A7I
15,wolfsketch,human,9,TF1DT5O2CCCAZA
16,wolfsketch,human,9,KYOD77E3N5PA59
17,wolfsketch,human,8,NJ3VUEC2Z2OAQO
18,wolfsketch,human,8,P5KHBZ71KF4AC1
19,wolfsketch,human,9,J9QO2OF3HU0AAZ
20,wolfsketch,human,10,XJOTN851NQIA3N
21,wolfsketch,human,10,DODLWU9XNGABD
22,wolfsketch,human,6,1YPFHUI2LBNA1M
23,wolfsketch,human,8,DE29BZD3O7LAZA
24,wolfsketch,human,9,N8314X31U6IAK2
25,wolfsketch,human,8,HR7HOA5DEJAF9
26,wolfsketch,human,8,494DERF3T5GACU
27,wolfsketch,human,8,415E13MUR5ATA
28,wolfsketch,human,9,629WD6FZ0CAAZ
29,wolfsketch,human,8,KTRKPEF1MPAA1Q
30,wolfsketch,human,8,8LYQIZH23M3A0L
31,wolfsketch,human,3,Z71F2D6ALHAUQ
32,wolfsketch,human,8,OCWGEW13IMYAJ9
33,wolfsketch,human,10,1X4UIXG14KZAN4
34,wolfsketch,human,8,9RYFO0BYPEAYI
35,wolfsketch,human,10,78ZYLZ734TRAXY
36,wolfsketch,human,4,C78DVWV1X3WAYR
37,wolfsketch,human,9,W8PW1202KGEARX
38,wolfsketch,human,10,XNKS1JU1B70AEU
39,wolfsketch,human,10,RCE4FGM2A5ZA7I
40,wolfsketch,human,8,KKIXM0520VCA95
41,wolfsketch,human,7,EORR3XHJHEA32
42,wolfsketch,human,10,4GQQE6AJCZALM
43,wolfsketch,human,10,NVXPP0J2GPYAFX
44,wolfsketch,human,6,PPMDHMO3SKSAU0
45,wolfsketch,human,10,DF52XJAV3XAL8
46,wolfsketch,human,7,GQULGGE3ZJLAD5
47,wolfsketch,human,9,HXKKNLG5FJASZ
48,wolfsketch,human,10,5JLFH5O2PVWAID
49,wolfsketch,human,6,S1MJ5P92I68ARE
50,wolfsketch,human,10,QX9RG3O32FKA05
51,wolfsketch,human,10,ZLV37KZ2S1HAVX
52,wolfsketch,human,10,G0XBOM2A7XAHY
53,wolfsketch,human,6,SEHEPVO1BWUACT
54,wolfsketch,human,10,ZJ4MEAN32RJA4D
55,wolfsketch,human,4,3HZDK8PP9ZA0Y
56,wolfsketch,human,6,TYXC7073YRWADZ
57,wolfsketch,human,10,8H5OUC73CDVA59
58,wolfsketch,human,10,CARUOUC3CCLAWT
59,wolfsketch,human,10,AQV41WD2ZQ9AC5
60,wolfsketch,human,10,4I7EHG22XFRAZP
61,wolfsketch,human,8,5UOJLRD5WYA6I
62,wolfsketch,human,3,AMD72C220CQA67
63,wolfsketch,human,10,U17RZ8V1C6QAAD
64,wolfsketch,human,8,W2IYR0F2PT8AV0
65,wolfsketch,human,6,27RL20E28LKAFB
66,wolfsketch,human,9,SXFE5DY2G06AH5
67,wolfsketch,human,7,XOGVU552LRIAD9
68,wolfsketch,human,10,3NKYW6C2NA3AK6
69,wolfsketch,human,8,TX0VB3535GIAAO
70,wolfsketch,human,3,BCI705Y2O4NAT7
71,wolfsketch,human,8,XLDULJ71NFOA3P
72,wolfsketch,human,6,V8E0SI539SKAWD
73,wolfsketch,human,8,7NB2BOX283PAFN
74,wolfsketch,human,10,U7CC4G32AQLA97
75,wolfsketch,human,10,ALZZUZN17OKAZR
76,wolfsketch,human,8,PQ9VAUHYCFA31
77,wolfsketch,human,7,Q7D971W2TR3ASM
78,wolfsketch,human,9,RIFNZGT25KRA47
79,wolfsketch,human,6,BC3IHM72WIMA5F
80,wolfsketch,human,10,GYIC0OE26R7AHF
81,wolfsketch,human,7,E44A9SA8OVANI
82,wolfsketch,human,10,3XW9L51ZSXA5G
83,wolfsketch,human,10,OALVHOB3PCTAXV
84,wolfsketch,human,8,WG36I173JKLAHQ
85,wolfsketch,human,9,3LVY76Z29MPAI4
86,wolfsketch,human,9,8QK314W37B2AFA
87,wolfsketch,human,10,D2FNFMB3NB7AH1
88,wolfsketch,human,6,N5G5HDS2CSHAIP
89,wolfsketch,human,10,NCUFRIIPM4AQJ
90,wolfsketch,human,10,F1JNQVN3F0SAY6
91,wolfsketch,human,10,1WNYA7ZH4CAYS
92,wolfsketch,human,8,MYOJJZ52ZAPAXZ
93,wolfsketch,human,8,HDXC5TK2NJAA0Q
94,wolfsketch,human,8,T07IOE8H363CM3B22AS5
95,wolfsketch,human,10,E2K9K5F1GQFA9F
96,wolfsketch,human,7,CE6YPLY29M0A5J
97,wolfsketch,human,9,DSPEFR2RCUAOB
98,wolfsketch,human,2,8P5E16Q3DKZAT2
99,wolfsketch,human,5,P8MDA7O2GZAL1
100,wolfsketch,webp,2,ZBWO4XR3WLDAB1
101,wolfsketch,webp,2,93CU02214U9AH4
102,wolfsketch,webp,3,OCWGEW13IMYAJ9
103,wolfsketch,webp,9,4W5XC5K28XTA72
104,wolfsketch,webp,6,JXKQQ7XFSWAUP
105,wolfsketch,webp,2,3358L7K3NIAAPU
106,wolfsketch,webp,4,WEOHW1SYUZA1P
107,wolfsketch,webp,3,RX626IK3TL9AJF
108,wolfsketch,webp,5,5AF0B7R25H0AL4
109,wolfsketch,webp,4,DF52XJAV3XAL8
110,wolfsketch,webp,5,55CU8VR15WTARZ
111,wolfsketch,webp,4,QLZBTUENSIAKB
112,wolfsketch,webp,6,TF1DT5O2CCCAZA
113,wolfsketch,webp,4,U2WDA3S2BXLAT8
114,wolfsketch,webp,3,5UOJLRD5WYA6I
115,wolfsketch,webp,4,UJZZICT3QITAN4
116,wolfsketch,webp,3,BK2FN0JD7QAPE
117,wolfsketch,webp,4,DPCAVTNAC8A2B
118,wolfsketch,webp,5,XJKRCH42K8CA10
119,wolfsketch,webp,3,U17RZ8V1C6QAAD
120,wolfsketch,webp,5,XNKS1JU1B70AEU
121,wolfsketch,webp,2,YO7NZPA13SZAYI
122,wolfsketch,webp,3,DSPEFR2RCUAOB
123,wolfsketch,webp,2,ZOB1NKA1TIKAXY
124,wolfsketch,webp,9,YUBT4IYH45A0P
125,wolfsketch,webp,2,N8314X31U6IAK2
126,wolfsketch,webp,6,8EOQPM61JH6AXR
127,wolfsketch,webp,1,X6VTL6V351FAI4
128,wolfsketch,webp,3,AR4VCW612TAA69
129,wolfsketch,webp,5,3NKYW6C2NA3AK6
130,wolfsketch,webp,6,3GHVTRHJW8AAV
131,wolfsketch,webp,4,JI3M6KK2PE5ABR
132,wolfsketch,webp,2,AO8VFKD2794ANK
133,wolfsketch,webp,5,KFY4FDK2R18AFQ
134,wolfsketch,webp,3,S8TZ67W3RBMAYU
135,wolfsketch,webp,2,CPHK0JY1YUBA9D
136,wolfsketch,webp,5,OIDPOQH3MPOA9F
